Navn,Antal
MARTINA,653
ANASTASIA,650
JACQUELINE,650
LIZZI,648
MARIANE,648
ANN-SOFIE,645
MALGORZATA,642
ENA,636
KIT,636
VERONICA,635
IRINA,633
MARIIA,633
LONNI,632
DIDDE,626
NIKITA,625
VILJA,625
VERONIKA,624
VALENTINA,623
ANGELINA,622
LUISE,622
SAMIRA,622
BIRGITH,621
ZEYNEP,619
JEANET,617
SIDSE,615
EMINE,612
NAOMI,612
ÅSE,609
EWA,607
HATICE,605
AIDA,603
MELISA,602
CARMEN,600
BIBI,599
PAULINA,591
DENISE,590
MELIA,588
CATHARINA,585
ELIF,585
SUSIE,582
ZOE,582
CATRINE,576
TANYA,574
ELVA,572
VINNIE,568
GABRIELA,567
MAGGIE,565
PAULINE,564
ANIKA,559
DARIA,557
MICHAELA,556
NORMA,556
DORA,555
MIKKELINE,552
URSULA,551
ANGELA,547
SALMA,547
TATIANA,547
GHITA,541
SILVIA,538
ELINOR,537
LENETTE,532
ALICIA,530
OLINE,528
BRIT,527
LIZETTE,525
AMY,524
INGERLISE,519
MADELEINE,519
JESSIE,513
VICKY,511
JOY,509
LOUISA,508
ELLIS,506
JUTTA,506
SHEILA,505
GRO,504
JASMINA,502
NATACHA,502
MALAK,501
NEEL,499
MARIANA,497
JILL,494
EVELYN,491
IDA-MARIE,489
MAGDA,488
CHRISTIANE,487
INNA,487
MARION,486
TEA,484
BONNIE,483
AURA,482
THORA,481
HILDA,480
MAY,479
NELLY,479
GERD,476
LIUDMYLA,476
LAJLA,475
RAGNA,474
MARYNA,473
MALIKA,472
CÆCILIE,469
DEA,469
JANA,465
PIL,464
SASHA,464
KARNA,463
INGER-LISE,462
REGINA,460
MICHELE,459
HEDVIG,455
KIMMIE,455
TAMARA,453
CASSANDRA,452
LIA,448
AZRA,445
NOUR,445
NADINE,441
BEATE,439
CLAIRE,437
GRETA,437
SIV,437
KARI,436
SIFF,436
GAIA,435
BEATA,434
HANA,434
IZABELLA,434
HANAN,433
BJØRG,432
ADA,431
MERYEM,427
JUDY,426
ISABELLE,424
KHADIJA,423
ANNABELL,422
SIMONA,417
ANITTA,416
MALIA,416
MIMI,416
ANNA-MARIE,415
MOLLIE,415
ADRIANA,413
KATINKA,411
KIM,408
TERESE,407
NADA,405
MEDINA,403
ALIA,399
SONIA,399
ALIS,398
RUNA,397
WINNI,397
HJØRDIS,396
CINDY,394
DANA,394
PHILIPPA,394
PUK,394
,394
LIZA,393
SAMANTHA,393
DORTHEA,392
META,391
LISSIE,390
UMA,389
LOLA,388
RACHEL,388
MARIANNA,386
GUNVOR,384
MAISE,384
ANNE-GRETE,382
SVETLANA,382
JANET,378
NOOR,378
ULRIKKE,378
SUSANNA,377
LIVIA,374
MAIBRIT,374
ILONA,373
VALENTYNA,372
LEYLA,371
KRISTIN,370
ANINE,369
ANNE-SOPHIE,367
ANNA-LISE,366
SANA,366
MILENA,364
SOFIIA,364
ANDREEA,363
SUZAN,363
JEANNIE,361
KATRIN,360
ZARA,359
LULU,358
CHILI,357
IRENA,354
RENATA,354
CATHERINE,352
LILJA,352
MANJA,352
ATHENA,351
MAY-BRITT,351
MIKALA,350
ELA,348
ALISA,346
ELMA,344
SAHAR,344
SAHRA,344
MIHAELA,342
LEJLA,340
DOROTA,339
KERSTIN,339
LE,339
GINA,337
RABIA,337
AJA,336
OLEKSANDRA,336
BERITH,335
ELZBIETA,335
SACHA,334
CELIA,333
BRIGITTE,331
DANIELLE,331
ANNE-DORTHE,330
MAJSE,329
CHALOTTE,328
ERICA,328
GRACE,328
AYAH,327
FELICIA,326
IZABELA,326
CECILLIE,325
FENJA,325
JOLANTA,325
FANNY,322
DIANNA,321
SAVANNAH,321
AYLA,320
MAYBRITT,320
MARGOT,319
ZOEY,319
MICHELA,318
NORAH,318
EMINA,317
YASEMIN,317
GRITH,316
ISA,316
MARWA,316
ELI,315
TESSA,315
AMALIA,314
AGATA,312
JUSTYNA,312
SIGGA,312
ANTONIA,311
ASMA,311
JENNIE,311
MYRNA,311
ZEINAB,311
FATEMEH,310
NAIA,310
KLAUDIA,309
GYDA,308
JOHNNA,308
LANA,308
RANA,307
MERVE,306
KITT,305
MARIT,304
GUNVER,302
SYLVIA,302
CIRKELINE,301
ESRA,300
INES,300
YANA,300
DEBBIE,299
NINI,299
AVIAJA,296
ELEANOR,296
JAMILA,296
SOMMER,296
ANNEGRETHE,295
HAILEY,295
POLINA,295
ELEONORA,294
LINN,294
LISS,294
ESMA,293
ALBERTHE,291
ANGELIKA,291
HELLA,291
JELENA,291
BIRTHA,290
EDA,290
SANNA,290
TARA,290
KÄTHE,289
SASJA,289
TINNE,289
CHLOE,288
METHA,288
TONE,288
ELKE,287
MARIKA,287
PATRYCJA,287
THYRA,287
HOLLY,285
HUDA,284
SYLWIA,284
ELIZA,283
JEAN,283
ZOFIA,283
BEATRICE,282
HALYNA,281
HARRIET,281
ROSEMARIE,281
LONA,280
MATILDA,280
MEJSE,279
ALICJA,278
POULA,278
BIRGITTA,277
HELIN,277
ALLA,276
MARIJA,275
ZUZANNA,275
OFELIA,274
ROBERTA,274
ESTRID,273
FADIME,273
FARAH,273
MELEK,273
NISA,272
HALIMA,271
ISOLDE,270
KITTY,269
MANAL,268
CHANETTE,267
ELLI,267
ELSEBET,267
TATJANA,267
KAJSA,266
SOL,266
MAHA,265
DOMINIKA,264
VALBORG,264
DAISY,263
SIW,262
HALA,261
LUCY,261
RINA,261
MARGARET,260
VIDA,260
ANNESOFIE,259
GITTA,259
KAMILA,259
LONNY,259
NOLA,259
ANEMONE,258
KRISTIANE,258
ANNABELLA,255
LUCA,255
THIT,255
ALAA,254
EVELINA,254
LILIANA,254
MALIN,254
MANUELA,254
SANNI,254
ANETA,253
MATHILDA,253
ANISA,252
NOA,252
RENATE,252
IWONA,251
JASMINE,250
KRYSTYNA,250
NAIMA,250
NADIIA,249
ANN-BRITT,248
INGE-MARIE,248
MUNA,248
KAISA,247
HILDE,246
MIRJAM,246
ANA-MARIA,245
HIBA,245
MADELINE,245
STINNA,244
WIKTORIA,244
KATERINA,243
LOTUS,243
BETH,242
AMANI,241
SIBEL,241
ALLIS,240
ANNE-LOUISE,240
LIDIA,240
MELIKE,240
UNA,240
CAJA,239
GITHA,239
RITTA,239
SULTAN,239
FRIGG,238
LIUBOV,238
ANN-MARIE,237
IOANA,237
HOLLIE,236
TRILLE,236
ZEHRA,236
ANNE-DORTE,235
JENNI,234
KIKI,234
LAYLA,233
NINETTE,233
LENI,232
DALIA,231
JANIE,231
ANYA,230
VICKIE,230
MALINA,229
AIA,228
ELISABET,228
FILUCA,228
SAFIA,228
ANNE-KATRINE,227
CLEO,227
LIN,227
MITZI,226
AURORA,225
KAREN-MARGRETHE,225
KATRINA,225
RAKEL,225
RANIA,225
MARNA,224
ALVILDA,223
GLORIA,223
MEGAN,223
BERTHA,222
LISSA,222
EMMELI,221
NICOLA,221
PETRINE,221
DILARA,220
SELIN,220
CAMILA,219
DILEK,219
IVANA,219
LIANA,219
ANN-LOUISE,218
CATALINA,218
LUISA,218
TONI,218
FRANCESCA,217
MARTYNA,217
KIS,216
SIENNA,216
VIKTORIJA,216
ANNEGRETE,215
GIULIA,214
AYLIN,213
SAFA,213
VALERIA,213
SVEA,212
AICHA,211
FADUMO,211
EMA,210
KAIA,210
KATHERINE,210
MADINA,210
VALERIIA,210
ALONA,208
GABRIELE,208
OLIWIA,208
ZELIHA,208
DANUTA,207
SANDY,207
BUSHRA,206
EKATERINA,206
FATEMA,206
OPHELIA,206
ASMAA,205
INGER-MARIE,205
INGE-MERETE,204
EWELINA,202
EMELIE,201
FREIA,201
ANNA-GRETHE,200
CHLOÉ,200
EDNA,200
TABITA,200
BAHAR,199
JO,199
SYS,199
BENITA,198
HEBA,198
MARI,198
MILANA,198
ALIYA,197
ZITA,197
ALISHA,196
CAYA,196
GISELA,196
KAREN-MARIE,196
KINGA,196
SILA,196
ANNELI,195
DERYA,195
FATME,195
NATALI,195
ANN-MARI,194
NICKIE,194
RIMA,194
SINNE,194
SUSI,194
LARYSA,193
AINO,192
AYOE,192
IVY,192
