Navn,ANTAL
HOLGERSEN,615
BANKE,614
OUTZEN,614
WICHMANN,613
HARBO,610
BØGELUND,608
AKHTAR,607
RASCH,607
LUNDGREN,605
BENDIX,603
HØJBJERG,603
PETERS,603
MOLLERUP,602
ABBAS,601
VITTRUP,601
MØRUP,599
VOIGT,598
KRYGER,596
MARCHER,593
SØNDERSKOV,592
GULDBERG,591
SECHER,591
DALBY,590
ENGBERG,590
HUYNH,590
NEERGAARD,589
SKIPPER,589
TANGE,587
LYNG,586
APPEL,585
SOELBERG,585
FOLDAGER,584
ROSENLUND,584
THAYSEN,584
BRAMSEN,582
EJ EFTERNAVN,582
KAPPEL,582
KOKHOLM,580
KARA,578
BALSLEV,577
HOVGAARD,577
STENDER,576
BOLL,575
LOMHOLT,575
LEE,574
MYGIND,573
HAGEN,572
DRACHMANN,570
GORMSEN,570
AHMADI,566
LINDGREN,566
LYSGAARD,566
SHARMA,566
EMBORG,565
GADEGAARD,565
GRØNBORG,565
TARP,565
LIN,564
RANDRUP,562
STRAARUP,562
MIDTGAARD,561
LANGKJÆR,559
WIESE,559
BAUN,558
NORDENTOFT,558
BREDAHL,557
HASLUND,557
SAFI,557
KARSTENSEN,556
ABDULLAH,554
BRØDSGAARD,554
MØNSTER,554
ISSA,553
NIEMANN,553
MARTENS,552
GUSTAVSEN,550
PANDURO,549
STØVRING,548
HAMID,547
HESSELLUND,547
MEJER,547
TØNDER,547
RINDOM,545
JOHNSON,544
MOSEGAARD,543
AAGESEN,542
KYED,542
ALBREKTSEN,541
ANKER,541
BRINCH,541
HOLCK,541
LUNDE,541
HEGELUND,540
WALTHER,540
EJLERSEN,538
BEIER,537
BAUER,536
JAMA,536
BERNTSEN,535
CORNELIUSSEN,535
EBSEN,535
HEJLESEN,535
KAMP,535
ØSTERBY,535
GRØNHØJ,534
LAM,534
OTTE,534
BORREGAARD,533
BROE,533
KEJSER,533
LA COUR,533
ØSTERGÅRD,532
DIDRIKSEN,530
MANSOUR,530
÷ZTÜRK,529
HANDBERG,528
OTTO,528
HVIDBERG,527
FALLESEN,526
BRANDSTRUP,524
MAHMOOD,524
PAPE,523
WEINREICH,523
KAISER,522
MUNKSGAARD,522
SØNNICHSEN,522
THIESEN,521
HALBERG,520
MILLER,520
BALLING,519
SUHR,519
ALEXANDERSEN,518
HYLLESTED,518
SKOVBJERG,518
AMIN,517
LAMBERTSEN,517
KONDRUP,514
KREBS,514
KAUR,513
REIMER,513
RYE,513
BENNEDSEN,512
BLICHER,512
GRAVGAARD,511
PILEGAARD,511
PETTERSSON,510
YUSUF,510
KRING,509
RING,509
FOSS,508
JOSEPHSEN,508
SVENSTRUP,508
WIBERG,507
SARI,506
KØHLER,505
BRASK,504
KUDSK,504
LINDGREEN,503
ZIMMERMANN,501
THORHAUGE,500
AMSTRUP,499
BOJESEN,499
HVASS,499
SEHESTED,499
DJURHUUS,498
GRØNDAHL,498
THYSSEN,498
HUSUM,497
RYBERG,496
VESTERGÅRD,496
HARTVIGSEN,495
BLADT,494
BUTT,494
VEST,493
GAARDE,492
LODBERG,492
RIISE,492
ENGSTRØM,491
THESTRUP,491
FRISK,489
MARTIN,489
RINGGAARD,489
WEISS,489
WERNER,489
NOWAK,488
VIBORG,488
ERIKSSON,487
MØNSTED,487
MARTENSEN,486
VINTER,486
÷ZDEMIR,486
GULDBRANDSEN,485
NIEBUHR,485
WILLIAMS,485
STEFANSEN,484
GUSTAFSSON,483
HENNEBERG,483
AVCI,482
HOLME,482
SKOVSGAARD,482
JONSSON,481
SYLVEST,480
KLIT,479
LUNDQVIST,479
DAMBORG,478
BOCK,477
FRANCK,477
KLINT,477
THISTED,477
DEMANT,475
SUNESEN,475
GULDBÆK,474
HALVORSEN,474
SAID,474
STENTOFT,474
ULRIKSEN,474
WINKLER,474
FUNDER,473
LENTZ,472
HAASTRUP,471
HELBO,470
HOLDT,470
GLERUP,469
HØJBERG,469
AZIZ,467
HAANING,467
MAHLER,467
MOOS,467
NYMARK,467
FILTENBORG,466
FREDSLUND,466
LOFT,465
HILDEBRANDT,464
KALLESØE,464
DUELUND,463
HEIDE,463
STRYHN,463
WESTERMANN,463
FYHN,462
RYGAARD,462
ELBÆK,461
LUNDGREEN,461
VU,460
BILDE,459
MELCHIORSEN,459
TIMM,459
RØNNOW,458
THOMAS,458
ZIEGLER,458
BECHMANN,457
BEKKER,457
KIILERICH,457
KONRADSEN,457
BENNETSEN,456
RIX,456
WILHELMSEN,455
LUNDSTRØM,454
ØRSKOV,454
KAMPER,453
MEISNER,453
FÆRCH,452
WINKEL,452
GEISLER,451
HØJRUP,451
JONES,451
PUGGAARD,451
SKAFTE,450
NORDSTRØM,449
OHLSEN,449
THORSAGER,449
BØRSTING,446
J÷NSSON,446
KEHLET,446
PEHRSON,446
TØTTRUP,446
FRØLUND,445
QUIST,445
DEHN,444
DREIER,444
LAUESEN,444
RUNGE,444
NYMAND,443
NØRGÅRD,443
ØRSTED,443
BOJE,442
HESSELBERG,442
HOSTRUP,442
HOUMANN,442
TOPP,442
HERSKIND,441
MOURIDSEN,441
ARSLAN,440
ROKKJÆR,440
THINGGAARD,439
ALS,438
BERGER,438
HASSING,438
REINHOLDT,438
MORSING,437
BJØRNSKOV,436
HAHN,436
HEIBERG,436
KJER,436
VILSTRUP,436
GRAU,435
TOBIASEN,435
BUUR,434
FORSBERG,434
AYDIN,433
GULDBORG,433
SKOVBY,433
AGERHOLM,432
MØRCK,432
LINDAHL,431
ALBÆK,430
BEGUM,430
BIGUM,430
HOPPE,430
LIST,430
THYBO,430
BENDSEN,429
MAGNUSSON,429
MALMBERG,429
MØLDRUP,429
RITTER,429
SCHJØDT,428
NYBO,427
STRAUSS,427
THORSTED,427
ABEL,426
GLUD,426
HJELM,426
HOVMAND,426
JUNGE,426
NELLEMANN,426
BINDERUP,425
ENGGAARD,425
MONRAD,425
SANDAGER,425
KONGSTED,424
MENG,424
BROWN,422
FRIBERG,422
SEERUP,422
BÆRENTSEN,421
PRIMDAHL,421
SAABYE,420
DYBDAL,419
HELMS,419
PETTERSON,419
GISSEL,418
KRAUSE,418
BROCH,417
SINDING,417
HEDELUND,416
LAUTRUP,416
ØHLENSCHLÆGER,416
ABILDTRUP,415
BEK,415
ARILDSEN,414
ERLANDSEN,414
HUANG,414
RAAHAUGE,414
KAMSTRUP,413
MOHAMUD,413
PRÆST,413
SCHØLER,413
WOLLESEN,413
KORKMAZ,412
LANGKILDE,412
BASTHOLM,411
ENGELBRECHT,411
HOLLÆNDER,410
KLINGE,410
LANGBALLE,409
NORMANN,409
DENCKER,408
TIMMERMANN,408
WU,408
BEHRENS,407
BRUUS,407
DREWSEN,407
JOKUMSEN,407
OBEL,407
TERKILDSEN,407
ENGHOLM,406
KJELLERUP,406
SØNDERUP,406
AZIZI,405
BASSE,405
CETIN,405
HØG,405
SØNDERGÅRD,405
AGERBO,404
BALTZER,404
HOANG,404
LEMMING,404
KOK,403
MAAGAARD,403
SNEDKER,403
TONNESEN,403
BERGSTRØM,402
