Navn,ANTAL
HELFRED,1
TRIN,1
OREOLUWA,1
CHENQING,1
HY,1
BOYI,1
BARRI,1
BALOU,1
AZURA,1
AWELE,1
ASSANA,1
ASOH,1
ARVEEN,1
AMARI,1
AKSHINI,1
TASNIIM,1
ADITA,1
TAWHEED,1
ROINE,1
AAJU,1
RAYNE,1
KUNI,1
MONROE,1
MAVEL,1
AARIA,1
MYR,1
MET,1
LAVEY,1
LAVE,1
MILKI,1
MAWULI,1
KIMBER,1
VALLEY,1
TEHILLAH,1
MAYEL,1
JAZZY,1
XINRUI,1
MAYOWA,1
NORTH,1
NYAMEKYE,1
MUHAN,1
ZEMA,0
AULIA,0
RENÉE,0
SØLVI,0
ZHUOYI,0
ANAVA,0
NA,0
TAÏS,0
NOÉ,0
NOÉL,0
AEZHA,0
NOËL,0
SØLVE,0
CHANSA,0
MERCURY,0
ÖZGÜR,0
RENEÉ,0
REDDY,0
XIYU,0
GÜN,0
OLUWAKEMI,0
GÖRKEM,0
RUOYI,0
ECHEVARRIA,0
CLÉO,0
CHOWDARY,0
LUMIÈRE,0
LÝ,0
PIP,0
YÜKSEL,0
HÜDA,0
BJØRK,0
BJÖRK,0
RUEPAWADEE,0
